"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"American Century Diversified Bond Y",TRUE," Y","Y","Y","ADVYX",NA,NA,NA,2017-04-10,4,2017,NA,"Taxable Bond","American Century Investments",2017-04-10,2020-01-21,160205538,"Inst","No",NA,NA,613309973.419,-448114323.715,-7632155.018,NA,NA,NA,0.37,0.37,NA,NA
"American Century Sustainable Equity R5",TRUE," R5","R5","R5","AFDGX",NA,NA,NA,2017-04-10,4,2017,NA,"U.S. Equity","American Century Investments",2017-04-10,2020-01-21,1530381,"Retirement","No",NA,NA,18049.927,1366766.373,-174496.952,NA,NA,0.8,0.75,0.6,NA,NA
"Glenmede Quant US Large Cap Gr Eq Instl",TRUE," Instl","Instl","Instl","GTILX",NA,NA,NA,2015-11-05,11,2015,NA,"U.S. Equity","Glenmede",2015-11-05,2020-01-21,1319055601,"Inst","No",6103754.659,62210652.156,742455146.558,-38100597.499,390588525.646,NA,0.68,0.66,0.65,0.66,NA,NA
"Summit GI US Low Volatility Equity A LW",TRUE," A LW","A","A","LVOLX.lw",2016-11-30,11,2016,2015-11-02,11,2015,"Liquidated","U.S. Equity","Summit Global Investments",2015-11-02,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,2015-11-02,0
"Stone Toro Market Neutral I",TRUE," I","I","Instl","STMNX",2015-08-19,8,2015,2015-02-06,2,2015,"Liquidated","Alternative","Stone Toro",2015-02-06,2015-08-19,975876,"Inst","No",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2015-02-06,1
"Hartford High Yield F",TRUE," F","F","F","HAHFX",NA,NA,NA,2017-02-28,2,2017,NA,"Taxable Bond","Hartford Mutual Funds",2017-02-28,2020-01-21,63767486,"Other","No",NA,NA,NA,4986399.905,4683244.887,NA,NA,0.7,0.7,0.7,NA,NA
"JHancock Global Focused Strategies I",TRUE," I","I","Instl",NA,2019-05-17,5,2019,2016-04-13,4,2016,"Liquidated","Alternative","John Hancock",2016-04-13,2019-05-17,48980,"Inst","No",NA,100000.389,-48404.054,11.434,NA,NA,1.73,1.73,1.74,NA,2016-04-13,0
"Wasatch Frontier Emerg Sm Countrs Instl",TRUE," Instl","Instl","Instl","WIFMX",NA,NA,NA,2016-02-01,2,2016,NA,"International Equity","Wasatch",2016-02-01,2020-01-21,18618593,"Inst","No",NA,67937612.164,-26805163.459,-20882992.047,-881655.933,NA,2.06,2.08,2.02,2,NA,NA
"American Funds Emerging Markets Bd C",TRUE," C","C","C","EBNCX",NA,NA,NA,2016-07-29,7,2016,NA,"Taxable Bond","American Funds",2016-07-29,2020-01-21,28765362,"C","No",NA,712340.645,12057042.874,6210041.448,7900167.021,NA,0.73,1.78,1.8,NA,NA,NA
"Vanguard Emerging Markets Bond Admiral",TRUE," Admiral","Admiral","Admiral","VEGBX",NA,NA,NA,2017-12-06,12,2017,NA,"Taxable Bond","Vanguard",2017-12-06,2019-12-31,414408980,"Inst","No",NA,NA,6701430,53229395.014,334415980.131,NA,NA,NA,0.45,0.45,NA,NA
