"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"Delaware National Hi-Yld Muni Bd A LW",TRUE," A LW","A","A","CXHYX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","Delaware Funds by Macquarie",1986-09-22,9,1986,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.85,0.85,NA,NA,NA,NA,NA,NA
"Delaware Opportunity A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Opportunity Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Opportunity R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Premium Income A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Premium Income Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Premium Income R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware REIT A Load Waived",TRUE," A Load Waived","A","A","DPREX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Delaware Funds by Macquarie",1995-12-06,12,1995,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA
"Delaware Select Growth A Load Waived",TRUE," A Load Waived","A","A","DVEAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",1994-05-16,5,1994,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"Delaware Small Cap Core A Load Waived",TRUE," A Load Waived","A","A","DCCAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",1998-12-29,12,1998,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA
"Delaware Small Cap Growth A Load Waived",TRUE," A Load Waived","A","A","DSGDX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",2016-06-30,6,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-30,2016-06-30,1
"Delaware Small Cap Value A Load Waived",TRUE," A Load Waived","A","A","DEVLX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",1987-06-24,6,1987,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA
"Delaware Smid Cap Growth A Load Waived",TRUE," A Load Waived","A","A","DFCIX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Delaware Funds by Macquarie",1986-03-27,3,1986,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.22,1.2,NA,NA,NA,NA,NA,NA
"Delaware Special Situations A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Special Situations Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Special Situations R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
